Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
aloof	8	Abstract	2	80382	974.96	351.24	27	0.08	1.05	27	87.10	31	1.46
alpaca	4	Concrete	3	40531	931.96	298.11	28	0.00	0.81	28	87.50	32	4.81
alphabet	2	Concrete	1	20066	851.83	364.86	24	-0.58	0.93	24	77.42	31	4.31
alphabetically	8	Concrete	4	80841	1232.50	342.19	10	0.88	1.11	10	35.48	31	3.74
alright	10	Abstract	2	100500	906.66	313.70	29	-0.33	0.71	29	90.63	32	1.93
also	1	Abstract	1	10180	921.17	271.78	29	-0.30	0.81	29	93.55	31	1.83
altarpiece	1	Concrete	1	10121	1104.89	361.29	28	0.26	0.79	28	90.32	31	4.54
alternate	10	Abstract	2	100489	1078.96	441.63	26	0.18	1.18	26	84.38	32	2.43
alternately	2	Abstract	1	20215	922.03	319.74	31	-0.46	0.63	31	100.00	31	2.03
alternator	4	Concrete	3	40511	1053.38	312.86	26	0.35	1.00	26	87.50	32	4.27
altogether	1	Abstract	3	10737	890.57	230.70	28	-0.30	0.68	28	90.32	31	2.36
altruism	8	Abstract	2	80422	1067.43	326.70	30	0.20	0.79	30	96.77	31	1.5
amass	4	Abstract	4	40894	973.21	274.94	29	0.23	1.13	29	90.63	32	2.28
amaze	5	Abstract	2	50402	974.48	426.19	31	-0.11	0.91	31	96.88	32	2
amazed	5	Abstract	1	50191	943.50	348.65	30	-0.24	0.64	30	93.75	32	1.52
amazement	4	Abstract	1	40191	973.57	332.01	30	-0.23	0.73	30	93.75	32	1.89
amazingly	10	Abstract	3	100694	892.65	443.88	31	-0.39	0.92	31	96.88	32	1.58
ambassador	9	Concrete	3	90501	943.50	250.49	28	-0.03	0.89	28	93.33	30	4.28
ambiance	7	Abstract	1	70161	1098.00	323.48	30	0.12	0.90	30	96.77	31	2.31
ambidextrous	6	Concrete	1	60074	1363.57	337.80	14	1.05	0.95	14	45.16	31	3.63
ambience	4	Abstract	3	40692	1012.61	324.92	28	0.27	0.97	28	87.50	32	1.72
ambient	3	Abstract	1	30126	1096.85	352.89	27	0.05	0.80	27	87.10	31	2.04
ambiguity	6	Abstract	2	60440	946.39	294.85	31	-0.18	1.02	31	100.00	31	1.3
ambiguous	7	Abstract	3	70652	1003.90	404.92	31	-0.04	1.09	31	100.00	31	1.48
ambition	9	Abstract	3	90732	867.67	299.95	30	-0.32	1.01	30	100.00	30	1.74
ambitious	10	Abstract	3	100723	1035.74	411.79	31	-0.04	0.94	31	96.88	32	1.81
ambulance	2	Concrete	2	20305	798.25	191.53	28	-0.54	0.49	28	90.32	31	4.81
amenable	9	Abstract	2	90457	1092.33	309.47	30	0.47	1.02	30	100.00	30	1.86
amend	8	Abstract	4	80877	910.94	338.08	31	-0.27	0.91	31	100.00	31	2.32
amendment	6	Abstract	3	60660	1154.73	534.64	22	0.37	1.15	22	74.19	31	2.44
amends	8	Abstract	3	80677	985.53	287.67	30	-0.01	0.82	30	96.77	31	1.92
amethyst	7	Concrete	1	70093	1006.18	222.92	17	-0.12	0.66	17	58.06	31	4.09
amiable	9	Abstract	3	90734	897.07	268.86	27	-0.24	0.83	27	100.00	30	2.39
amicable	9	Abstract	2	90388	995.83	378.57	29	0.00	1.02	29	96.67	30	1.74
amicably	9	Abstract	1	90200	1105.67	477.61	27	0.04	0.91	27	93.33	30	2.11
ammonia	5	Concrete	2	50345	1095.79	381.30	28	0.36	1.02	28	87.50	32	4.44
ammonium	2	Concrete	2	20365	1117.00	375.27	26	0.52	1.03	26	83.87	31	4.04
ammunition	9	Concrete	3	90549	1127.14	329.23	22	0.37	1.01	22	73.33	30	4.88
amnesty	2	Abstract	1	20238	1063.96	469.83	28	-0.11	1.07	28	90.32	31	2.18
amok	1	Abstract	4	10917	1107.41	326.78	22	0.51	1.17	22	70.97	31	2
amoral	3	Abstract	3	30640	988.90	356.03	31	-0.07	0.80	31	100.00	31	1.46
amorality	7	Abstract	4	70972	1120.26	513.37	31	0.45	1.35	31	100.00	31	1.64
amphetamine	5	Concrete	3	50534	1147.03	319.48	31	0.40	0.87	31	100.00	32	4.18
amphibian	3	Concrete	4	30783	968.45	254.91	29	0.06	0.72	29	93.55	31	3.77
amphibious	4	Concrete	4	40838	1405.08	506.80	12	1.71	1.11	12	40.63	32	3.64
amphitheater	4	Concrete	1	40125	1225.89	371.72	28	0.51	0.87	28	87.50	32	4.36
amplifier	5	Concrete	3	50539	1092.11	525.04	27	0.11	1.24	27	84.38	32	4.79
amply	2	Abstract	3	20662	1113.28	415.63	29	0.45	1.10	29	96.77	31	2
amputate	2	Concrete	1	20093	1038.04	360.27	27	0.01	0.76	27	87.10	31	3.9
amputation	5	Concrete	2	50284	1074.64	398.29	28	0.38	1.14	28	84.38	32	3.76
amulet	7	Concrete	2	70261	938.58	335.65	26	-0.08	0.95	26	83.87	31	4
amusedly	10	Abstract	2	100389	998.04	327.84	28	-0.03	0.79	28	90.63	32	2
amusement	6	Abstract	4	60996	1131.00	343.66	24	0.36	0.84	24	77.42	31	2.07
anaconda	10	Concrete	3	100547	947.13	374.07	30	-0.26	0.86	30	93.75	32	4.93
anagram	5	Concrete	3	50596	1076.91	443.96	23	0.06	0.93	23	71.88	32	3.63
